Asteroid Velocity,Maximum Palermo Scale,Hazard
19.46,-4.3,Potentially Hazardous
7.78,-5.45,Potentially Hazardous
12.89,-5.01,Potentially Hazardous
13.43,-5.89,Potentially Hazardous
25.14,-5.85,Potentially Hazardous
15.13,-5.53,Potentially Hazardous
15.6,-3.55,Potentially Hazardous
17.04,-5.24,Potentially Hazardous
17.05,-3.67,Potentially Hazardous
13.07,-3.37,Potentially Hazardous
30.68,-4.25,Potentially Hazardous
25.22,-3.16,Potentially Hazardous
25.47,-5.32,Potentially Hazardous
19.78,-6.22,Potentially Hazardous
24.03,-4.73,Potentially Hazardous
11.19,-6.34,Potentially Hazardous
8.57,-5.95,Potentially Hazardous
13.04,-5.22,Potentially Hazardous
22.32,-6.46,Potentially Hazardous
18.52,-7.02,Potentially Hazardous
10.69,-6.42,Potentially Hazardous
14.21,-7.12,Potentially Hazardous
9.72,-5.37,Potentially Hazardous
14.69,-6.43,Potentially Hazardous
13.55,-4.59,Potentially Hazardous
13.11,-6.63,Potentially Hazardous
8.92,-7.85,Potentially Hazardous
18.19,-5.76,Potentially Hazardous
37.84,-4.22,Potentially Hazardous
23.63,-3.07,Potentially Hazardous
5.85,-2.93,Potentially Hazardous
23.6,-4.28,Potentially Hazardous
8.68,-6.69,Potentially Hazardous
20.38,-4.92,Potentially Hazardous
22.34,-5.94,Potentially Hazardous
9.25,-6.84,Potentially Hazardous
20.57,-5.65,Potentially Hazardous
23.13,-5.2,Potentially Hazardous
5.99,-2.32,Potentially Hazardous
14.1,-1.42,Potentially Hazardous
3.82,-8.03,Not Hazardous
9.34,-6.21,Not Hazardous
15.15,-6.32,Not Hazardous
18.0,-5.15,Not Hazardous
14.7,-7.32,Not Hazardous
15.29,-6.66,Not Hazardous
14.81,-6.43,Not Hazardous
12.86,-5.72,Not Hazardous
12.02,-6.32,Not Hazardous
19.51,-7.8,Not Hazardous
16.66,-6.1,Not Hazardous
23.77,-8.3,Not Hazardous
6.71,-6.87,Not Hazardous
11.84,-4.79,Not Hazardous
14.59,-6.73,Not Hazardous
15.23,-6.39,Not Hazardous
3.16,-7.48,Not Hazardous
4.94,-7.3,Not Hazardous
7.66,-7.46,Not Hazardous
9.03,-7.5,Not Hazardous
21.06,-8.27,Not Hazardous
7.25,-9.47,Not Hazardous
18.98,-7.87,Not Hazardous
5.94,-5.81,Not Hazardous
22.48,-6.66,Not Hazardous
9.83,-8.26,Not Hazardous
16.09,-8.54,Not Hazardous
7.53,-4.3,Not Hazardous
7.26,-6.77,Not Hazardous
7.41,-6.27,Not Hazardous
5.31,-7.06,Not Hazardous
9.69,-6.07,Not Hazardous
5.95,-5.48,Not Hazardous
16.97,-8.49,Not Hazardous
19.79,-8.29,Not Hazardous
8.77,-4.36,Not Hazardous
12.69,-4.03,Not Hazardous
17.96,-8.74,Not Hazardous
10.99,-7.33,Not Hazardous
6.22,-10.2,Not Hazardous
6.76,-7.96,Not Hazardous
10.11,-5.7,Not Hazardous
9.71,-7.89,Not Hazardous
13.71,-5.14,Not Hazardous
14.25,-6.13,Not Hazardous
18.33,-6.87,Not Hazardous
8.95,-8.2,Not Hazardous
7.61,-8.54,Not Hazardous
4.15,-6.37,Not Hazardous
10.26,-9.38,Not Hazardous
6.7,-6.25,Not Hazardous
12.36,-7.05,Not Hazardous
4.51,-7.9,Not Hazardous
3.12,-7.14,Not Hazardous
6.73,-7.16,Not Hazardous
11.35,-8.34,Not Hazardous
7.71,-7.12,Not Hazardous
4.17,-7.75,Not Hazardous
10.02,-7.08,Not Hazardous
12.5,-8.63,Not Hazardous
6.03,-8.62,Not Hazardous
7.29,-7.81,Not Hazardous
9.1,-8.41,Not Hazardous
11.0,-7.78,Not Hazardous
12.93,-7.14,Not Hazardous
15.3,-9.04,Not Hazardous
2.33,-6.08,Not Hazardous
16.69,-7.69,Not Hazardous
6.97,-7.85,Not Hazardous
13.01,-5.94,Not Hazardous
16.62,-7.9,Not Hazardous
9.97,-7.31,Not Hazardous
3.67,-6.88,Not Hazardous
9.56,-8.15,Not Hazardous
9.35,-6.51,Not Hazardous
19.82,-6.14,Not Hazardous
9.84,-6.77,Not Hazardous
11.01,-7.67,Not Hazardous
4.49,-7.58,Not Hazardous
3.32,-4.37,Not Hazardous
